index,genome,identifier,file,clip,scale,sum_stat,description,Tissue,Cancer
4929,0,CNhs11736,/home/drk/tillage/datasets/human/cage/fantom/CNhs11736/summary/coverage.w5,384,1,sum,small cell gastrointestinal carcinoma cell line:ECC10,intestine,Yes
4930,0,CNhs11737,/home/drk/tillage/datasets/human/cage/fantom/CNhs11737/summary/coverage.w5,384,1,sum,gastric adenocarcinoma cell line:MKN1,stomach,Yes
4931,0,CNhs11738,/home/drk/tillage/datasets/human/cage/fantom/CNhs11738/summary/coverage.w5,384,1,sum,gastrointestinal carcinoma cell line:ECC12,intestine,Yes
4932,0,CNhs11739,/home/drk/tillage/datasets/human/cage/fantom/CNhs11739/summ0647ary/coverage.w5,384,1,sum,squamous cell carcinoma cell line:T3M-5,skin,Yes
4933,0,CNhs11740,/home/drk/tillage/datasets/human/cage/fantom/CNhs11740/summary/coverage.w5,384,1,sum,granulosa cell tumor cell line:KGN,ovary,Yes
4934,0,CNhs11741,/home/drk/tillage/datasets/human/cage/fantom/CNhs11741/summary/coverage.w5,384,1,sum,diffuse large B-cell lymphoma cell line:CTB-1,immune cell,Yes
4935,0,CNhs11742,/home/drk/tillage/datasets/human/cage/fantom/CNhs11742/summary/coverage.w5,384,1,sum,hepatoblastoma cell line:HuH-6,liver,Yes
4936,0,CNhs11744,/home/drk/tillage/datasets/human/cage/fantom/CNhs11744/summary/coverage.w5,384,1,sum,neuroectodermal tumor cell line:FU-RPNT-1,NA,Yes
4937,0,CNhs11745,/home/drk/tillage/datasets/human/cage/fantom/CNhs11745/summary/coverage.w5,384,1,sum,clear cell carcinoma cell line:JHOC-5,ear,Yes
4938,0,CNhs11746,/home/drk/tillage/datasets/human/cage/fantom/CNhs11746/summary/coverage.w5,384,1,sum,serous adenocarcinoma cell line:JHOS-2,epithelium,Yes
4939,0,CNhs11747,/home/drk/tillage/datasets/human/cage/fantom/CNhs11747/summary/coverage.w5,384,1,sum,carcinosarcoma cell line:JHUCS-1,NA,Yes
4940,0,CNhs11748,/home/drk/tillage/datasets/human/cage/fantom/CNhs11748/summary/coverage.w5,384,1,sum,endometrioid adenocarcinoma cell line:JHUEM-1,NA,Yes
4941,0,CNhs11749,/home/drk/tillage/datasets/human/cage/fantom/CNhs11749/summary/coverage.w5,384,1,sum,squamous cell carcinoma cell line:JHUS-nk1,skin,Yes
4942,0,CNhs11750,/home/drk/tillage/datasets/human/cage/fantom/CNhs11750/summary/coverage.w5,384,1,sum,lens epithelial cell line:SRA 01/04,eye,Yes
4943,0,CNhs11752,/home/drk/tillage/datasets/human/cage/fantom/CNhs11752/summary/coverage.w5,384,1,sum,mucinous adenocarcinoma cell line:JHOM-1,NA,Yes
4944,0,CNhs11753,/home/drk/tillage/datasets/human/cage/fantom/CNhs11753/summary/coverage.w5,384,1,sum,neuroectodermal tumor cell line:FU-RPNT-2,NA,Yes
4945,0,CNhs11755,/home/drk/tillage/datasets/human/cage/fantom/CNhs11755/summary/coverage.w5,384,1,sum,"smooth muscle, adult, pool1",muscle,No
4946,0,CNhs11756,/home/drk/tillage/datasets/human/cage/fantom/CNhs11756/summary/coverage.w5,384,1,sum,"pancreas, adult,",pancreas,No
4947,0,CNhs11757,/home/drk/tillage/datasets/human/cage/fantom/CNhs11757/summary/coverage.w5,384,1,sum,"heart, adult, diseased post-infarction,",heart,No
4948,0,CNhs11758,/home/drk/tillage/datasets/human/cage/fantom/CNhs11758/summary/coverage.w5,384,1,sum,"heart, adult, diseased,",heart,No
4949,0,CNhs11760,/home/drk/tillage/datasets/human/cage/fantom/CNhs11760/summary/coverage.w5,384,1,sum,"aorta, adult, pool1",heart,No
4950,0,CNhs11761,/home/drk/tillage/datasets/human/cage/fantom/CNhs11761/summary/coverage.w5,384,1,sum,"blood, adult, pool1",blood,No
4951,0,CNhs11762,/home/drk/tillage/datasets/human/cage/fantom/CNhs11762/summary/coverage.w5,384,1,sum,"eye, fetal,",eye,No
4952,0,CNhs11763,/home/drk/tillage/datasets/human/cage/fantom/CNhs11763/summary/coverage.w5,384,1,sum,"uterus, fetal,",uterus,No
4953,0,CNhs11764,/home/drk/tillage/datasets/human/cage/fantom/CNhs11764/summary/coverage.w5,384,1,sum,"spinal cord, fetal,",brain,No
4954,0,CNhs11765,/home/drk/tillage/datasets/human/cage/fantom/CNhs11765/summary/coverage.w5,384,1,sum,"umbilical cord, fetal,",umbilical,No
