pathway,pval,padj,log2err,ES,NES,size
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,0.818385650224215,0.938822253028751,0.0602484086158019,-0.320107238605898,-0.700599576761704,8
GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.818615751789976,0.938822253028751,0.0632191170859458,-0.24705498856231,-0.785035103651834,36
GOBP_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE,0.819130434782609,0.938822253028751,0.0484087618816951,0.280837354755352,0.739452990521568,18
GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE,0.819148936170213,0.938822253028751,0.0492917662312669,0.321381637600036,0.730380094604881,10
GOMF_UBIQUITIN_BINDING,0.820627802690583,0.939901883740625,0.0601186142531851,-0.319268592568776,-0.69876408231547,8
GOCC_NEURON_SPINE,0.820754716981132,0.939901883740625,0.0625237414724762,-0.278881506320856,-0.706634462357737,15
GOBP_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY,0.8215859030837,0.94012156994921,0.059221919380382,-0.370837577407299,-0.703910883479116,5
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,0.821917808219178,0.94012156994921,0.0609039347452418,-0.241679916955395,-0.801612295991497,44
GOBP_MICROTUBULE_DEPOLYMERIZATION,0.821942446043165,0.94012156994921,0.0497903187820785,0.341348694699981,0.723230239073015,8
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS,0.823024054982818,0.940978653092992,0.0476387259290825,0.26810383275591,0.733333651827132,20
GOCC_IMMUNOLOGICAL_SYNAPSE,0.823788546255507,0.940981907461579,0.0590954798717342,-0.368394036828606,-0.6992726404521,5
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,0.823913043478261,0.940981907461579,0.0584693210386381,-0.319935691318328,-0.678538932853683,7
GOBP_PEPTIDYL_THREONINE_PHOSPHORYLATION,0.824275362318841,0.940981907461579,0.0499913914024592,0.333576742677925,0.733960030713415,9
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,0.824355971896956,0.940981907461579,0.0619762736001998,-0.259101394827587,-0.703988877536502,18
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE,0.825059101654846,0.941405066835828,0.0623861492893626,-0.276024679165838,-0.69262925253204,14
GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,0.826086956521739,0.942198252464585,0.0480220415968251,0.281603381760008,0.730127468972914,17
GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS,0.826642335766423,0.942452131598434,0.0501934252649434,0.371937107695299,0.698055205301245,5
GOBP_FATTY_ACID_BETA_OXIDATION,0.827777777777778,0.942779253460087,0.0508054139066364,0.350638902878208,0.692886279084256,6
GOBP_GLYCEROLIPID_CATABOLIC_PROCESS,0.827777777777778,0.942779253460087,0.0508054139066364,0.351601598777018,0.694788631543554,6
GOBP_CAMERA_TYPE_EYE_MORPHOGENESIS,0.827981651376147,0.942779253460087,0.0607719451853533,-0.289830316488968,-0.697853258605124,12
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,0.828260869565217,0.942779253460087,0.0582216241124161,-0.318707745050222,-0.675934630261094,7
GOBP_REGULATION_OF_OSSIFICATION,0.829787234042553,0.94363950850237,0.048701086452153,0.314549025154868,0.714852125548009,10
GOBP_TRNA_MODIFICATION,0.829787234042553,0.94363950850237,0.048701086452153,0.31373269083814,0.712996903389292,10
GOMF_G_PROTEIN_ACTIVITY,0.83029197080292,0.94363950850237,0.0499913914024592,0.370066517046413,0.694544462456752,5
GOBP_MITOTIC_RECOMBINATION,0.830396475770925,0.94363950850237,0.0587185879555941,-0.365378232611814,-0.693548146657583,5
GOMF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,0.831111111111111,0.94363950850237,0.0590954798717342,-0.309067526289874,-0.697224785529298,9
GOBP_RESPONSE_TO_VITAMIN,0.83210332103321,0.94363950850237,0.0503964322442957,0.334026322252081,0.688496277138334,7
GOBP_NEGATIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION,0.832116788321168,0.94363950850237,0.0498907356726307,0.369464581486813,0.693414743905036,5
GOBP_LYMPHOCYTE_HOMEOSTASIS,0.832155477031802,0.94363950850237,0.0484087618816951,0.3052122514777,0.724536326130748,12
GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE,0.832599118942731,0.94363950850237,0.0585937568945671,-0.362963324900484,-0.688964253535188,5
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,0.833723653395785,0.94363950850237,0.0614364107201271,-0.243220450036309,-0.778723604045603,37
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,0.83419689119171,0.94363950850237,0.0472587336673259,0.28914010096707,0.716833229517286,14
GOBP_NEGATIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION,0.834801762114538,0.94363950850237,0.0584693210386381,-0.362135407551218,-0.687392729859395,5
GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,0.834801762114538,0.94363950850237,0.0584693210386381,-0.362875061516952,-0.688796715076128,5
GOBP_PROTEOGLYCAN_METABOLIC_PROCESS,0.834801762114538,0.94363950850237,0.0584693210386381,-0.362875061516952,-0.688796715076128,5
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH,0.835555555555556,0.94363950850237,0.0588438169595807,-0.307665379065785,-0.69406168454185,9
GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION,0.835555555555556,0.94363950850237,0.0588438169595807,-0.306846524476111,-0.692214432187264,9
GOMF_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY,0.835555555555556,0.94363950850237,0.0588438169595807,-0.307804524016539,-0.694375581344958,9
GOMF_ALCOHOL_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY,0.835555555555556,0.94363950850237,0.0588438169595807,-0.307804524016539,-0.694375581344958,9
GOMF_ALDO_KETO_REDUCTASE_NADPH_ACTIVITY,0.835555555555556,0.94363950850237,0.0588438169595807,-0.307804524016539,-0.694375581344958,9
GOMF_CYTOKINE_ACTIVITY,0.835680751173709,0.94363950850237,0.0614364107201271,-0.258560825873456,-0.703810697728761,19
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.837155963302752,0.944370915708495,0.0602484086158019,-0.285982515124034,-0.688588524834296,12
GOBP_CELL_SURFACE_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.837662337662338,0.944370915708495,0.0574877409561325,-0.322789096180387,-0.656910514580726,6
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY,0.837662337662338,0.944370915708495,0.0574877409561325,-0.325656132833423,-0.662745242411851,6
GOBP_T_CELL_MEDIATED_CYTOTOXICITY,0.837662337662338,0.944370915708495,0.0574877409561325,-0.322788057590037,-0.656908400937702,6
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION,0.838365896980462,0.944787990548614,0.0483117581055019,0.230141976190384,0.778601644324537,57
GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS,0.838879159369527,0.944863689833318,0.0476387259290825,0.226038690394343,0.773405325323179,59
GOBP_HEMATOPOIETIC_OR_LYMPHOID_ORGAN_DEVELOPMENT,0.839100346020761,0.944863689833318,0.0470699590082662,0.27998239555913,0.701894540041212,15
GOBP_ENERGY_RESERVE_METABOLIC_PROCESS,0.840350877192982,0.945394508168231,0.0476387259290825,0.299115338285376,0.691315026740155,11
GOBP_GLUCAN_METABOLIC_PROCESS,0.840350877192982,0.945394508168231,0.0476387259290825,0.299115338285376,0.691315026740155,11
GOBP_POSITIVE_REGULATION_OF_D_GLUCOSE_IMPORT,0.840740740740741,0.945394508168231,0.0500922874402106,0.344277438865837,0.680315594277524,6
GOMF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.841240875912409,0.945394508168231,0.0493910105981501,0.36573018106193,0.686405984624679,5
GOMF_ORGANOPHOSPHATE_ESTER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.841240875912409,0.945394508168231,0.0493910105981501,0.36573018106193,0.686405984624679,5
GOBP_GLUCAN_BIOSYNTHETIC_PROCESS,0.841991341991342,0.945798968140432,0.0572461135202885,-0.322412732105771,-0.656144573225051,6
GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS,0.842465753424658,0.945798968140432,0.0464154956843849,0.25385303318845,0.735011345574491,26
GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS,0.843065693430657,0.945798968140432,0.0492917662312669,0.363108709211932,0.681485980590176,5
GOBP_INTRACELLULAR_PH_REDUCTION,0.843065693430657,0.945798968140432,0.0492917662312669,0.364561027837259,0.684211706405618,5
GOBP_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,0.843971631205674,0.945798968140432,0.047925896705813,0.303083756847622,0.688795864793816,10
GOMF_ATPASE_COUPLED_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,0.844444444444445,0.945798968140432,0.0498907356726307,0.343775460874213,0.679323651683752,6
GOMF_P53_BINDING,0.844444444444445,0.945798968140432,0.0583452776743612,-0.303183790983102,-0.683951679368258,9
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR,0.844890510948905,0.945798968140432,0.0491927521045191,0.362098835914178,0.679590640497439,5
GOBP_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND,0.845018450184502,0.945798968140432,0.0496901392724606,0.325767754367424,0.671473686808493,7
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_REDUCED_FLAVIN_OR_FLAVOPROTEIN_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN,0.845814977973568,0.945798968140432,0.0578529757032509,-0.355531033349099,-0.674856538376474,5
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,0.846320346320346,0.945798968140432,0.0570059526582387,-0.32062641236153,-0.652509220493869,6
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,0.846320346320346,0.945798968140432,0.0570059526582387,-0.32062641236153,-0.652509220493869,6
GOBP_RESPONSE_TO_ESTRADIOL,0.846666666666667,0.945798968140432,0.0582216241124161,-0.300332575472061,-0.677519628265876,9
GOCC_PROTEASOME_REGULATORY_PARTICLE_BASE_SUBCOMPLEX,0.846715328467153,0.945798968140432,0.0490939668192139,0.359743040685225,0.675169260946513,5
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_CH_OH_GROUP_OF_DONORS,0.847368421052632,0.945798968140432,0.0472587336673259,0.296096545777085,0.712664521850971,13
GOBP_CELLULAR_RESPONSE_TO_VIRUS,0.847517730496454,0.945798968140432,0.0477342401407188,0.296826739829547,0.674576008563903,10
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,0.847826086956522,0.945798968140432,0.048701086452153,0.321087033213733,0.706479255320178,9
GOBP_MITOCHONDRIAL_FISSION,0.848017621145375,0.945798968140432,0.0577308549299813,-0.352430451733576,-0.668971123096985,5
GOCC_VACUOLAR_MEMBRANE,0.848130841121495,0.945798968140432,0.0605092988656667,-0.235161051040472,-0.765889868681196,41
GOBP_REGULATION_OF_PH,0.848888888888889,0.945798968140432,0.0580983576873206,-0.298283261802575,-0.67289658584909,9
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,0.848958333333333,0.945798968140432,0.0466948041282054,0.265392320039768,0.713263917708421,19
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,0.849537037037037,0.945798968140432,0.059989249649033,-0.267915914788539,-0.664911089692464,13
GOMF_CHROMATIN_PROTEIN_ADAPTOR_ACTIVITY,0.850553505535055,0.945798968140432,0.0493910105981501,0.323715471073369,0.667243512976492,7
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,0.850917431192661,0.945798968140432,0.059476028695732,-0.281342726423545,-0.677416844441786,12
GOBP_PEPTIDYL_THREONINE_MODIFICATION,0.851063829787234,0.945798968140432,0.0475434194201301,0.293021025120019,0.665927044390526,10
GOCC_MITOCHONDRION,0.851791530944625,0.945798968140432,0.0436251240000606,0.210380677540846,0.833794850635204,169
GOBP_NEGATIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT,0.852422907488987,0.945798968140432,0.0574877409561325,-0.349945756391724,-0.664254761541914,5
GOBP_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION,0.853260869565217,0.945798968140432,0.0484087618816951,0.31970241444858,0.70343271549477,9
GOBP_ANIMAL_ORGAN_FORMATION,0.853703703703704,0.945798968140432,0.0493910105981501,0.335985542263481,0.663930243604231,6
GOMF_KINASE_ACTIVATOR_ACTIVITY,0.853951890034364,0.945798968140432,0.0459538081039063,0.259870607366058,0.710813640906763,20
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE,0.854066985645933,0.945798968140432,0.0613026075396207,-0.236877916482735,-0.718597485411789,28
GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY,0.854166666666667,0.945798968140432,0.0597317976364411,-0.295491007826975,-0.697922782293352,11
